"SearchID" "AdID" "Position" "ObjectType" "HistCTR" "IsClick"
"98" 31 11901916 7 3 0.016575 0
"99" 31 18000567 8 1 NA NA
"100" 31 27240352 2 2 NA NA
"101" 31 33507231 6 1 NA NA
"102" 32 13473769 6 1 NA NA
"103" 32 19321875 8 1 NA NA
"104" 32 22263166 1 3 0.00059 0
"105" 32 26079334 7 3 0.012925 0
"106" 33 9115234 1 3 0.02462 0
"107" 33 25368407 7 3 1e-05 0
"108" 33 32902875 2 2 NA NA
"109" 33 33272360 8 1 NA NA
"110" 33 34359128 6 1 NA NA
"111" 34 20558536 7 3 1e-05 0
"112" 34 23394982 1 3 0.00271 0
"113" 34 30856835 2 1 NA NA
"114" 35 15200924 7 3 0.010526 0
"115" 35 23073837 1 3 0.022153 0
"116" 35 35218646 2 2 NA NA
"117" 36 5108697 1 3 0.010272 0
"118" 36 17226550 7 3 0.003621 0
"119" 37 19880051 7 3 0.011081 0
"120" 37 22443842 8 1 NA NA
"121" 37 29811895 6 1 NA NA
"122" 37 34415850 1 3 0.003923 0
"123" 38 3718848 1 3 0.004348 0
"124" 38 26442889 7 3 0.000579 0
"125" 39 9652786 1 3 0.045034 0
"126" 39 27927411 7 3 0.002921 0
"127" 39 29321737 2 2 NA NA
"128" 40 16769697 1 3 0.027174 0
"129" 40 28719243 7 3 0.045094 0
"130" 41 18724613 2 1 NA NA
"131" 41 27927411 7 3 0.001768 0
"132" 41 34020177 8 1 NA NA
"133" 41 35123196 1 3 0.003113 0
"134" 41 35797845 6 1 NA NA
"135" 42 436942 7 3 0.00165 0
"136" 42 5471663 6 1 NA NA
"137" 42 10230167 2 1 NA NA
"138" 42 14906940 1 3 0.003655 0
"139" 42 31853484 8 1 NA NA
"140" 43 24822583 1 3 0.006955 0
"141" 45 6583406 2 1 NA NA
"142" 45 14908658 1 3 0.012107 0
"143" 46 7467274 8 1 NA NA
"144" 46 8016898 6 1 NA NA
"145" 46 15298241 7 3 0.015149 0
"146" 46 24285144 2 2 NA NA
"147" 46 25738905 1 3 0.003461 0
"148" 47 3727707 2 1 NA NA
"149" 47 12978905 6 1 NA NA
"150" 47 30193167 7 3 0.002334 0
"151" 47 33516216 1 3 0.002408 0
"152" 47 36314474 8 1 NA NA
"153" 48 8118640 6 1 NA NA
"154" 48 19296443 1 3 0.006951 0
"155" 48 19439742 2 1 NA NA
"156" 48 24261273 7 3 0.005083 0
"157" 48 28546568 8 1 NA NA
"158" 49 3912292 7 3 0.003559 0
"159" 49 5105262 6 1 NA NA
"160" 49 15057636 2 1 NA NA
"161" 49 15947803 8 1 NA NA
"162" 49 28918332 1 3 0.012981 0
"163" 50 5174169 7 3 0.000562 0
"164" 50 9409681 8 1 NA NA
"165" 50 12514554 6 1 NA NA
"166" 50 13948619 2 1 NA NA
"167" 50 26955363 1 3 0.002467 0
"168" 51 33133445 1 3 0.007013 0
"169" 52 7821854 6 1 NA NA
"170" 52 11462811 7 1 NA NA
"171" 52 11977421 8 1 NA NA
"172" 52 19824509 1 3 0.00531 0
"173" 52 23901397 2 1 NA NA
"174" 53 17259711 7 3 0.000706 0
"175" 53 34851178 1 3 0.00518 0
"176" 54 16277917 1 3 0.002205 0
"177" 54 24878008 7 3 0.007503 0
"178" 56 5184150 7 3 0.009042 0
"179" 56 7774075 2 2 NA NA
"180" 56 13660370 6 1 NA NA
"181" 56 21972795 8 1 NA NA
"182" 56 31565576 1 3 0.035875 0
"183" 57 636107 2 2 NA NA
"184" 57 12340121 7 3 0.003769 0
"185" 57 19750772 1 3 0.025855 0
"186" 57 26225997 6 1 NA NA
"187" 57 29459980 8 1 NA NA
"188" 58 6115044 1 3 0.023966 0
"189" 58 17165831 7 3 0.00966 0
"190" 58 20057992 2 1 NA NA
"191" 58 27613735 6 1 NA NA
"192" 58 29412957 8 1 NA NA
"193" 59 5639723 1 3 0.011331 0
"194" 59 13135682 2 1 NA NA
"195" 59 22147078 7 3 0.010679 0
"196" 59 29616937 8 1 NA NA
"197" 59 29834367 6 1 NA NA
"198" 60 7304805 2 2 NA NA
"199" 60 11020220 1 3 0.035445 0
"200" 61 9242328 7 3 0.002084 0
"201" 61 28793106 1 3 0.005602 0
"202" 62 3990225 1 3 0.020202 0
"203" 62 20249294 2 1 NA NA
"204" 63 7891372 6 1 NA NA
"205" 63 23214319 2 1 NA NA
"206" 63 29799719 8 1 NA NA
"207" 63 32093996 1 3 0.003109 0
"208" 63 36544114 7 3 0.001898 0
"209" 64 372985 2 2 NA NA
"210" 64 1489022 1 3 0.019565 0
"211" 64 7129412 6 1 NA NA
"212" 64 23841435 7 1 NA NA
"213" 64 26529371 8 1 NA NA
"214" 65 2573395 6 1 NA NA
"215" 65 20397368 7 3 0.004545 0
"216" 65 30449312 1 3 0.003151 0
"217" 65 32048203 2 1 NA NA
"218" 65 34072158 8 1 NA NA
"219" 66 7831105 8 1 NA NA
"220" 66 23794865 1 3 0.002449 0
"221" 66 25321570 2 1 NA NA
"222" 66 27964071 6 1 NA NA
"223" 66 29569350 7 3 0.006064 0
"224" 67 10572683 1 3 0.002865 0
"225" 67 16286655 8 1 NA NA
"226" 67 28673515 6 1 NA NA
"227" 67 30193167 7 3 0.002077 0
"228" 67 31220142 2 1 NA NA
"229" 68 1839799 1 3 0.001437 0
"230" 68 13359170 6 1 NA NA
"231" 68 17194414 2 2 NA NA
"232" 68 26307723 7 3 0.006343 0
"233" 68 34647642 8 1 NA NA
"234" 69 5098366 1 3 0.004717 0
"235" 69 7751917 2 2 NA NA
"236" 69 29793656 7 3 0.001916 0
"237" 70 5851467 6 1 NA NA
"238" 70 9657988 7 1 NA NA
"239" 70 21644283 2 1 NA NA
"240" 70 22899156 1 3 1e-05 0
"241" 70 23636667 8 1 NA NA
"242" 71 22355256 7 1 NA NA
"243" 71 24696160 8 1 NA NA
"244" 71 34731078 1 3 0.000827 0
"245" 71 35843541 6 1 NA NA
"246" 71 36141446 2 2 NA NA
"247" 72 9603516 7 3 1e-05 0
"248" 72 23878151 1 3 0.00801 0
"249" 72 30177645 2 2 NA NA
"250" 73 14238405 1 3 0.006288 0
"251" 73 21709680 7 3 0.002689 0
"252" 74 11482449 8 1 NA NA
"253" 74 21462110 7 3 0.02246 0
"254" 74 21585181 6 1 NA NA
"255" 74 23968902 1 3 0.001585 0
"256" 74 28756213 2 2 NA NA
"257" 75 14510622 7 3 0.002501 0
"258" 75 16297834 2 2 NA NA
"259" 75 22515324 1 3 0.008377 0
"260" 76 3346370 2 2 NA NA
"261" 76 23259774 1 3 0.01389 0
"262" 76 29061107 7 3 0.005746 0
"263" 77 21473532 7 3 0.000982 0
"264" 77 26545736 6 1 NA NA
"265" 77 26598599 1 3 0.003195 0
"266" 77 27319362 8 1 NA NA
"267" 77 33993462 2 2 NA NA
"268" 78 683405 1 3 0.012048 0
"269" 78 23204912 7 3 6.8e-05 0
"270" 79 28478010 1 3 0.003074 0
"271" 80 9576345 2 1 NA NA
"272" 80 25769381 7 3 0.015576 0
"273" 80 28082409 1 3 0.02715 0
"274" 82 12985978 1 3 0.002182 0
"275" 82 30141652 7 3 0.041266 0
"276" 83 14380949 1 3 0.015896 0
"277" 84 4694616 2 1 NA NA
"278" 84 12089125 8 1 NA NA
"279" 84 21926071 1 3 0.008197 0
"280" 84 34732034 7 1 NA NA
"281" 84 36794507 6 1 NA NA
"282" 85 617391 1 3 0.00309 0
"283" 85 8735723 8 1 NA NA
"284" 85 20100727 7 3 0.006684 0
"285" 85 25336574 6 1 NA NA
"286" 85 36292642 2 2 NA NA
"287" 87 23027148 1 3 0.043656 0
"288" 87 30118109 7 3 0.022222 0
"289" 88 6636601 1 3 0.008163 0
"290" 88 17304523 6 1 NA NA
"291" 88 17667447 8 1 NA NA
"292" 88 32825888 7 3 0.001852 0
"293" 88 33088984 2 1 NA NA
"294" 89 755525 2 1 NA NA
"295" 89 5877520 1 3 1e-05 0
"296" 90 4899467 8 1 NA NA
"297" 90 14880485 7 3 0.001168 0
"298" 90 28804225 1 3 0.003327 0
"299" 90 29239207 6 1 NA NA
"300" 91 7846175 2 1 NA NA
"301" 91 23010027 1 3 0.014491 0
"302" 91 23534267 8 1 NA NA
"303" 91 24801265 6 1 NA NA
"304" 91 32574085 7 1 NA NA
"305" 92 326584 1 3 0.003226 0
"306" 92 14447673 7 3 1e-05 0
"307" 93 12658821 6 1 NA NA
"308" 93 20494875 7 3 0.00784 0
"309" 93 20495936 1 3 0.008367 0
"310" 93 34756804 8 1 NA NA
"311" 94 15633733 1 3 0.010339 0
"312" 94 15972279 7 3 0.001349 0
"313" 94 32055467 2 1 NA NA
"314" 95 28252070 7 3 0.003102 0
"315" 95 32093996 1 3 0.00454 0
"316" 96 7685053 8 1 NA NA
"317" 96 12399331 7 1 NA NA
"318" 96 25123881 1 3 0.002065 0
"319" 96 34898441 6 1 NA NA
"320" 96 34920845 2 1 NA NA
"321" 97 4137593 2 2 NA NA
"322" 97 22067752 1 3 0.003766 0
"323" 97 36047928 7 3 0.009204 0
"324" 98 14610991 7 3 0.00034 0
"325" 98 22025696 2 2 NA NA
"326" 98 28334384 1 3 0.023692 0
"327" 99 9840503 1 3 0.012494 0
"328" 99 20058023 7 3 0.005629 0
"329" 99 35684755 2 2 NA NA
"330" 100 5184150 7 3 0.008523 0
"331" 100 20506727 8 1 NA NA
"332" 100 29322545 2 2 NA NA
"333" 100 31565576 1 3 0.043132 0
"334" 100 31978831 6 1 NA NA
"335" 101 5174169 7 3 0.001993 0
"336" 101 13697472 1 3 0.004076 0
"337" 101 19239945 6 1 NA NA
"338" 101 26538484 8 1 NA NA
"339" 102 917992 7 3 0.006459 0
"340" 102 1659261 1 3 0.00373 0
"341" 102 4623391 8 1 NA NA
"342" 102 20422153 6 1 NA NA
"343" 102 29602909 2 1 NA NA
"344" 103 1258929 6 1 NA NA
"345" 103 19484609 8 1 NA NA
"346" 103 19501282 1 3 0.027174 0
"347" 103 24406220 7 3 0.03137 0
"348" 103 28490308 2 2 NA NA
"349" 104 18052437 1 3 0.012922 0
"350" 106 1854044 2 2 NA NA
"351" 106 13951332 7 3 0.013369 0
"352" 106 19706288 1 3 0.019971 0
"353" 106 23293816 6 1 NA NA
"354" 106 24671709 8 1 NA NA
"355" 107 3266749 7 3 0.003956 0
"356" 107 13567995 1 3 0.006 0
"357" 107 16725130 2 1 NA NA
"358" 109 7628390 1 3 0.003431 0
"359" 109 19464192 8 1 NA NA
"360" 109 22630353 2 1 NA NA
"361" 109 35486598 7 3 0.004464 0
"362" 109 35554565 6 1 NA NA
"363" 110 11825847 8 1 NA NA
"364" 110 18721539 1 3 0.003755 0
"365" 110 20494875 7 3 0.004195 0
"366" 110 31471717 2 1 NA NA
"367" 110 33641236 6 1 NA NA
"368" 111 22733180 7 3 0.004105 0
"369" 111 24482289 1 3 0.008797 0
"370" 112 18294552 1 3 0.007755 0
"371" 112 19723175 2 2 NA NA
"372" 112 31679831 7 3 0.003202 0
"373" 113 7866259 8 1 NA NA
"374" 113 12210655 1 3 0.002889 0
"375" 113 16534128 2 2 NA NA
"376" 113 22968355 7 3 0.003546 0
"377" 113 28893871 6 1 NA NA
"378" 114 1349799 7 1 NA NA
"379" 114 5887048 2 1 NA NA
"380" 114 15117884 6 1 NA NA
"381" 114 28105178 8 1 NA NA
"382" 114 33918352 1 3 1e-05 0
"383" 115 2380203 7 3 0.00159 0
"384" 115 4421045 8 1 NA NA
"385" 115 7304805 2 2 NA NA
"386" 115 12799935 1 3 0.003526 0
"387" 115 15876475 6 1 NA NA
"388" 116 11159057 2 1 NA NA
"389" 116 18282017 8 1 NA NA
"390" 116 22482968 1 3 0.010667 0
"391" 116 22941650 7 3 0.007619 0
"392" 116 25456130 6 1 NA NA
"393" 117 5861507 1 3 0.004565 0
"394" 117 10275484 8 1 NA NA
"395" 117 15767383 7 1 NA NA
"396" 117 19472534 6 1 NA NA
"397" 117 35778869 2 1 NA NA
"398" 118 6720757 1 3 0.000892 0
"399" 118 10763933 2 2 NA NA
"400" 118 27227669 7 3 0.004548 0
"401" 119 29092863 1 3 0.03137 0
"402" 119 31679831 7 3 0.002278 0
"403" 120 28591143 7 3 0.001605 0
"404" 120 35934928 1 3 0.005333 0
"405" 121 588975 6 1 NA NA
"406" 121 1220223 7 3 0.005422 1
"407" 121 12562636 8 1 NA NA
"408" 121 14197565 2 1 NA NA
"409" 121 17114456 1 3 0.012844 0
"410" 122 23905439 1 3 0.008163 0
"411" 122 34084553 7 3 0.003782 0
"412" 123 13615819 8 1 NA NA
"413" 123 14187674 2 2 NA NA
"414" 123 20972041 7 3 0.043897 0
"415" 123 27496840 6 1 NA NA
"416" 123 34084553 1 3 0.036122 0
"417" 124 2004522 1 3 1e-05 0
"418" 124 3029505 7 1 NA NA
"419" 124 3695268 2 1 NA NA
"420" 124 7241187 8 1 NA NA
"421" 124 36684112 6 1 NA NA
"422" 125 6372814 1 3 0.009912 0
"423" 125 33375815 2 1 NA NA
"424" 126 2643678 8 1 NA NA
"425" 126 3424446 6 1 NA NA
"426" 126 16223882 2 2 NA NA
"427" 126 17926338 7 3 0.020619 0
"428" 126 30792442 1 3 0.009329 0
"429" 127 2497087 7 3 8e-04 0
"430" 127 19666476 1 3 0.001714 0
"431" 128 4203676 7 3 0.024688 0
"432" 128 22577395 1 3 0.003975 0
"433" 129 9422975 8 1 NA NA
"434" 129 21426110 1 3 0.003789 0
"435" 129 32294184 7 3 0.0146 0
"436" 129 35575187 6 1 NA NA
"437" 130 19315340 1 3 0.014146 0
"438" 130 22971257 2 2 NA NA
"439" 130 30924933 7 3 0.016389 0
"440" 131 10502829 7 3 0.000963 0
"441" 131 31334683 1 3 0.007121 0
"442" 131 35176951 2 2 NA NA
"443" 133 9599674 8 1 NA NA
"444" 133 14623535 6 1 NA NA
"445" 133 23273851 1 3 0.000611 0
"446" 133 29574091 7 3 1e-05 0
"447" 133 36188371 2 1 NA NA
"448" 134 17485726 2 2 NA NA
"449" 134 22671989 8 1 NA NA
"450" 134 33673299 7 3 0.001456 0
"451" 134 33805123 1 3 0.002915 0
"452" 134 36213810 6 1 NA NA
"453" 135 11681114 7 3 0.006513 0
"454" 135 36123655 1 3 0.001387 0
"455" 136 943533 2 1 NA NA
"456" 136 16180742 1 3 0.007519 0
"457" 136 25318760 7 3 0.007194 0
"458" 137 22428526 7 3 1e-05 0
"459" 137 26178737 1 3 0.008696 0
"460" 138 123066 1 3 0.004306 0
"461" 138 569611 6 1 NA NA
"462" 138 6577556 8 1 NA NA
"463" 138 16716103 2 1 NA NA
"464" 138 36584865 7 3 0.002086 0
"465" 139 1211269 1 3 0.011164 0
"466" 139 2761086 2 2 NA NA
"467" 139 25793223 7 3 0.002651 0
"468" 140 1251928 6 1 NA NA
"469" 140 2469970 1 3 1e-05 0
"470" 140 6762581 2 1 NA NA
"471" 140 22249636 7 3 1e-05 0
"472" 140 33063031 8 1 NA NA
"473" 142 2358580 2 2 NA NA
"474" 142 2976217 6 1 NA NA
"475" 142 19443927 7 3 0.006009 0
"476" 142 21585753 8 1 NA NA
"477" 142 24555539 1 3 0.008417 0
"478" 143 1933939 1 3 0.015431 0
"479" 143 9927431 2 2 NA NA
"480" 143 32729431 7 3 0.009009 0
"481" 144 8884537 2 1 NA NA
"482" 144 17875071 8 1 NA NA
"483" 144 18816529 6 1 NA NA
"484" 144 27825529 7 3 0.004651 0
"485" 144 29904172 1 3 0.016596 0
"486" 145 2721445 2 2 NA NA
"487" 145 18671305 6 1 NA NA
"488" 145 27927411 7 3 0.001902 0
"489" 145 30839185 1 3 0.029695 0
"490" 145 30852903 8 1 NA NA
"491" 146 4637546 1 3 0.016707 0
"492" 146 6718520 7 3 0.009172 0
"493" 146 20224396 6 1 NA NA
"494" 146 24321869 2 2 NA NA
"495" 146 32998383 8 1 NA NA
"496" 147 28241950 2 1 NA NA
"497" 147 30305607 7 3 0.003632 0
"498" 147 30370520 1 3 0.001256 0
"499" 148 27429113 1 3 1e-05 0
"500" 148 27819278 7 3 1e-05 0
"501" 149 367557 7 3 1e-05 0
"502" 149 18212993 1 3 1e-05 0
"503" 150 11020220 1 3 0.034853 0
"504" 150 23182641 6 1 NA NA
"505" 150 25005344 2 1 NA NA
"506" 150 32161831 8 1 NA NA
"507" 150 34000235 7 1 NA NA
"508" 151 2932124 6 1 NA NA
"509" 151 11164103 1 3 0.020384 0
"510" 151 16904117 7 3 0.003259 0
"511" 151 23650160 8 1 NA NA
"512" 152 14529566 1 3 0.027429 0
"513" 152 18451387 6 1 NA NA
"514" 152 18463566 2 1 NA NA
"515" 152 27056522 8 1 NA NA
"516" 152 36873234 7 3 0.004183 0
"517" 153 18909799 1 3 0.043897 0
"518" 153 34084553 7 3 0.002883 0
"519" 153 34257340 2 2 NA NA
"520" 154 8152046 1 3 0.002525 0
"521" 154 13036302 7 3 0.005833 0
"522" 155 25099977 1 3 1e-05 0
"523" 155 34706010 2 1 NA NA
"524" 156 1068865 2 1 NA NA
"525" 156 15633733 1 3 0.007376 0
"526" 156 20842142 8 1 NA NA
"527" 156 29724202 6 1 NA NA
"528" 156 33549686 7 3 0.006271 0
"529" 157 15226380 1 3 0.00523 0
"530" 157 29729580 7 3 0.013294 0
"531" 157 36067862 2 1 NA NA
"532" 158 9559824 6 1 NA NA
"533" 158 12043770 8 1 NA NA
"534" 158 17926338 7 3 0.002827 0
"535" 158 18294552 1 3 0.008306 0
"536" 158 22995516 2 1 NA NA
"537" 159 11772683 7 3 0.002667 0
"538" 159 19145309 1 3 0.004016 0
"539" 159 26226781 8 1 NA NA
"540" 159 33204170 6 1 NA NA
"541" 160 408195 2 1 NA NA
"542" 160 10654694 7 1 NA NA
"543" 160 15861147 8 1 NA NA
"544" 160 18864729 1 3 1e-05 0
"545" 160 25058887 6 1 NA NA
"546" 161 19421687 8 1 NA NA
"547" 161 20188012 6 1 NA NA
"548" 161 25738905 7 3 0.002726 0
"549" 161 30792442 1 3 0.013087 0
"550" 161 34557713 2 2 NA NA
"551" 162 17453815 1 3 0.009542 0
"552" 162 36798325 7 3 0.004858 0
"553" 163 14392486 7 1 NA NA
"554" 163 23586497 2 1 NA NA
"555" 163 24913018 1 3 0.011187 0
"556" 163 27316120 8 1 NA NA
"557" 163 28355868 6 1 NA NA
"558" 164 3410400 1 3 0.008667 0
"559" 164 12011573 7 3 0.001549 0
"560" 164 22785812 8 1 NA NA
"561" 164 22864153 6 1 NA NA
"562" 164 23607102 2 1 NA NA
"563" 165 635814 7 2 NA NA
"564" 165 1560373 8 1 NA NA
"565" 165 7515949 1 3 0.013397 0
"566" 165 24235608 6 1 NA NA
"567" 165 27545335 2 2 NA NA
"568" 166 7595429 6 1 NA NA
"569" 166 8027895 7 3 0.001093 0
"570" 166 19854798 1 3 0.002539 0
"571" 166 20857914 2 2 NA NA
"572" 166 31357810 8 2 NA NA
"573" 167 17140319 2 2 NA NA
"574" 167 24667816 1 3 0.087293 0
"575" 167 29793656 7 3 0.002171 0
"576" 168 6252949 6 1 NA NA
"577" 168 24482289 1 3 0.009455 0
"578" 168 27449581 2 1 NA NA
"579" 168 34512398 8 1 NA NA
"580" 168 34977909 7 3 0.011364 0
"581" 169 13485461 1 3 0.005096 0
"582" 169 21774750 6 1 NA NA
"583" 169 29997987 7 1 NA NA
"584" 169 30634061 8 1 NA NA
"585" 170 27478313 1 3 0.003497 0
"586" 170 32635638 7 3 0.008636 0
"587" 171 17418975 7 3 0.0061 0
"588" 171 19721770 2 2 NA NA
"589" 171 27627342 1 3 0.00348 0
"590" 172 6115044 1 3 0.020137 0
"591" 172 13485461 7 3 0.006302 0
"592" 172 22705708 8 1 NA NA
"593" 172 24780636 2 1 NA NA
"594" 172 33234710 6 1 NA NA
"595" 173 7414164 2 2 NA NA
"596" 173 14674635 1 3 0.013668 0
"597" 173 24328929 7 3 0.017535 0
"598" 174 17155598 2 2 NA NA
"599" 174 17672090 1 3 0.044535 0
"600" 174 17715503 7 3 0.045343 0
"601" 175 238944 8 1 NA NA
"602" 175 5222735 6 1 NA NA
"603" 175 21206413 7 1 NA NA
"604" 175 28076914 1 3 1e-05 0
"605" 175 29885280 2 1 NA NA
"606" 176 16234741 7 3 0.001435 0
"607" 176 27226461 1 3 0.003043 0
"608" 177 3053049 6 1 NA NA
"609" 177 16567378 7 3 0.03537 0
"610" 177 18517634 1 3 0.039096 0
"611" 177 21090891 8 1 NA NA
"612" 177 22221561 2 1 NA NA
"613" 178 28715004 7 3 0.004571 0
"614" 178 32370130 1 3 0.00486 0
"615" 179 14018455 6 1 NA NA
"616" 179 15543406 8 1 NA NA
"617" 179 20258222 7 2 NA NA
"618" 179 24525066 2 2 NA NA
"619" 179 24979503 1 3 1e-05 0
"620" 180 14224011 1 3 0.002326 0
"621" 180 16178438 6 1 NA NA
"622" 180 18392065 2 1 NA NA
"623" 180 20061281 8 1 NA NA
"624" 180 27531774 7 3 0.000932 0
"625" 181 957100 6 1 NA NA
"626" 181 2065277 8 1 NA NA
"627" 181 6040959 1 3 0.002102 0
"628" 181 13840581 7 3 0.013889 1
"629" 182 10096901 1 3 0.005181 0
"630" 182 11265810 2 1 NA NA
"631" 182 13543594 7 1 NA NA
"632" 182 13857793 6 1 NA NA
"633" 182 32257413 8 1 NA NA
"634" 183 18843338 7 3 1e-05 0
"635" 183 30594703 1 3 0.006579 0
"636" 184 7686812 2 2 NA NA
"637" 184 21649152 1 3 0.001954 0
"638" 184 27387400 7 3 1e-05 0
"639" 184 27785434 6 1 NA NA
"640" 184 33992873 8 1 NA NA
"641" 185 18477853 6 1 NA NA
"642" 185 25863656 7 3 0.024259 0
"643" 185 27804148 2 1 NA NA
"644" 185 28062736 8 1 NA NA
"645" 185 34514394 1 3 0.045928 0
"646" 186 4000511 1 3 0.003343 0
"647" 186 4081867 2 1 NA NA
"648" 187 8404495 7 3 0.007951 0
"649" 187 8498226 2 1 NA NA
"650" 187 11164103 1 3 0.02 0
"651" 187 15316594 6 1 NA NA
"652" 187 28676133 8 1 NA NA
"653" 189 1349591 2 1 NA NA
"654" 189 9812568 6 1 NA NA
"655" 189 10506779 1 3 0.005174 0
"656" 189 12526395 8 1 NA NA
"657" 189 34114280 7 3 0.002889 0
"658" 190 13671281 1 3 0.020893 0
"659" 190 21731999 7 3 0.005342 0
"660" 190 28862453 2 2 NA NA
"661" 191 5286847 2 2 NA NA
"662" 191 17624400 8 1 NA NA
"663" 191 22884453 7 3 0.023891 0
"664" 191 23381155 1 3 0.001656 0
"665" 191 31177671 6 1 NA NA
"666" 192 21704177 1 3 0.002592 0
"667" 192 36544114 7 3 0.001869 0
"668" 193 18327665 1 3 0.007064 0
"669" 194 4095970 1 3 0.019923 0
"670" 194 4316527 2 1 NA NA
"671" 194 23140769 6 1 NA NA
"672" 194 27597068 8 1 NA NA
"673" 194 30709717 7 3 0.007742 0
"674" 195 6837400 8 1 NA NA
"675" 195 14027628 7 3 0.00264 0
"676" 195 32291112 6 1 NA NA
"677" 195 32545157 1 3 0.001802 0
"678" 195 35383471 2 2 NA NA
"679" 196 1048108 7 3 0.001567 0
"680" 196 22975310 2 2 NA NA
"681" 196 32545157 1 3 0.002366 0
"682" 197 11994803 1 3 0.003883 0
"683" 198 4123332 2 1 NA NA
"684" 198 14515103 1 3 0.033885 1
"685" 198 22345394 6 1 NA NA
"686" 198 26003965 8 1 NA NA
"687" 198 33581585 7 1 NA NA
"688" 199 7662212 8 1 NA NA
"689" 199 15099171 1 3 0.043649 0
"690" 199 25485644 6 1 NA NA
"691" 199 28077900 7 3 1e-05 0
"692" 199 29182564 2 2 NA NA
"693" 200 9975652 2 2 NA NA
"694" 200 28793106 1 3 0.006549 0
"695" 200 32556381 7 3 0.002622 0
"696" 201 5665973 1 3 0.004263 0
"697" 201 30864167 2 2 NA NA
"698" 202 13464371 1 3 0.03923 0
