"AdID" "LocationID" "CategoryID" "Params" "Price" "Title" "IsContext"
"69" 69 3320 2 "" 0 "Меняю ноутбук" 0
"70" 70 343 47 "{127:'Автомобильные кресла'}" 2000 "Автомобильное кресло" 0
"71" 71 1134 22 "{88:'38', 83:'Обувь', 175:'Женская одежда'}" 400 "Туфли" 0
"72" 72 3960 5 "{165:'Бильярд и боулинг'}" 55000 "Бильярдный стол 12ф. русская пирамида на камне" 0
"73" 73 3953 22 "{90:'42–44 (S)', 83:'Платья и юбки', 175:'Женская одежда'}" 500 "Продам отличное летнее платье" 0
"74" 74 4458 30 "{785:'Нет', 204:'Продам', 532:'Гараж', 783:'Кирпичный'}" 2e+05 "Гараж, 24 м²" 0
"75" 75 3771 38 "{45:'Другое'}" 700 "Трюмо с зеркалом" 0
"76" 76 3953 6 "{512:'5', 518:'Монолитный', 200:'Сдам', 596:'На длительный срок', 565:'Не первый', 574:'5-8'}" 5000 "Комната 20 м² в 5-к, 5/5 эт." 0
"77" 77 1340 60 "{178:'Для мальчиков', 110:'Другое'}" 0 "Одежда для мальчика" 0
"78" 78 3960 19 "{535:'Квартира, апартаменты', 205:'Продам', 77:'Испания'}" 1200 "Квартира (Испания)" 0
"79" 79 3928 250005 "{721:'Полиграфия, дизайн', 716:'Реклама, полиграфия'}" 0 "Наружная реклама и полиграфия любых вида и дизайна" 0
"80" 80 3953 60 "{178:'Для мальчиков', 124:'21', 110:'Обувь'}" 500 "Ортопедические ботинки орто" 0
"81" 81 3960 52 "{167:'Книги'}" 650 "Сказки зарубежных писателей Состояние хорошее" 0
"82" 82 44 41 "{143:'Samsung'}" 800 "Самсунг 525" 0
"83" 83 1261 60 "{178:'Для мальчиков', 124:'23', 110:'Обувь'}" 150 "Модным деткам обувь р.23-24" 0
"84" 84 2887 250005 "{716:'Ремонт, строительство', 718:'Сборка и ремонт мебели'}" 0 "Сборка и установка мебели" 0
"85" 85 3960 52 "{167:'Книги'}" 250 "Энциклопедический словарь юного математика" 0
"86" 86 2033 34 "{802:'17', 803:'Литые', 804:'Всесезонные', 5:'Шины, диски и колёса', 806:'55', 808:'5', 709:'Колёса', 805:'255'}" 0 "Perelli" 0
"87" 87 1788 54 "{576:'5-8', 550:'2', 201:'Сдам', 503:'Панельный', 567:'Не первый и не последний', 504:'На длительный срок'}" 20000 "2-к квартира, 56 м², 4/5 эт." 0
"88" 88 642 43 "{1283:'С пробегом', 633:'Красный', 1159:0, 210:'ВАЗ (LADA)', 184:'50 000 - 54 999', 1162:0, 1165:0, 1135:0, 632:'0.8', 1138:0, 280:'1111 Ока', 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Хетчбэк', 188:'2000', 185:'Механика'}" 50000 "ВАЗ 1111 Ока, 2000" 0
"89" 89 3953 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 20000 "Кунг L200" 0
"90" 90 4029 54 "{549:'1', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый и не последний', 575:'5-8'}" 940000 "1-к квартира, 35 м², 2/5 эт." 0
"91" 91 3193 45 "{211:'Йоркширский терьер'}" 0 "Продаются щенки Йоркширского терьера" 0
"92" 92 3960 47 "{127:'Игрушки'}" 3500 "Детская мини-кухня" 0
"93" 93 3953 60 "{120:'62-68 см (2-6 мес)', 178:'Для мальчиков', 110:'Комбинезоны и боди'}" 3200 "Комбинезон трансформер Chicco (одет один раз)" 0
"94" 94 3960 60 "{120:'62-68 см (2-6 мес)', 178:'Для мальчиков', 110:'Комбинезоны и боди'}" 300 "Флисовый слип carters" 0
"95" 95 1967 35 "" 0 "Отдам фикус бенджамина" 0
"96" 96 3976 51 "{148:'МФУ, копиры и сканеры'}" 0 "Епсон тх117" 0
"97" 97 3496 48 "{30:'Мотоциклы', 479:'Дорожные'}" 130000 "Мотоцикл" 0
"98" 98 230 42 "{202:'Продам', 556:'Дом', 525:'25'}" 0 "Дом 356 м² на участке 13 сот." 0
"99" 99 1110 34 "{709:'Шины', 731:'225', 732:'45', 733:'17', 734:'Летние', 5:'Шины, диски и колёса'}" 3000 "Шины. В хорошем состоянии" 0
"100" 100 1110 22 "{83:'Верхняя одежда', 86:'44–46 (M)', 175:'Женская одежда'}" 3000 "Польто кашемировое" 0
"101" 101 1344 34 "{817:'Автосвет', 5:'Запчасти', 598:'Для автомобилей'}" 3200 "Фара передняя с/корр Kia (Cerato 07)" 0
"102" 102 547 60 "{178:'Для мальчиков', 110:'Верхняя одежда', 119:'74-80 см (7-12 мес)'}" 800 "Зимний комбинезон для мальчика" 0
"103" 103 2840 38 "{45:'Шкафы и комоды'}" 9000 "Для долгого пользования" 0
"104" 104 4455 47 "{127:'Игрушки'}" 1500 "Продается телескоп 3-х кратное увеличение новый" 0
"105" 105 1261 14 "{42:'Погрузчики'}" 1250000 "GR SW 734 SL, 4-метра, 1.6 м3, г/п -3 т, наличие" 0
"106" 106 4294 26 "{132:'Акустика, колонки, сабвуферы'}" 10000 "Aiwa BMZ-K1" 0
"107" 107 2142 33 "{531:'Промназначения', 203:'Продам'}" 1500000 "Участок 7 сот. (промназначения)" 0
"108" 108 4241 43 "{1283:'С пробегом', 633:'Чёрный', 1159:0, 210:'УАЗ', 184:'80 000 - 84 999', 1162:0, 1165:0, 1135:0, 632:'2.7', 1138:0, 286:'Patriot', 695:'Полный', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Внедорожник', 188:'2009', 185:'Механика'}" 385000 "УАЗ Patriot, 2009" 0
"109" 109 926 32 "{536:'Сдам', 554:'Складское помещение'}" 35000 "Складское помещение, 140 м²" 0
"110" 110 1653 41 "{143:'Номера и SIM-карты'}" 0 "Красивый федеральный поменяю на красивый городской" 0
"111" 111 1944 34 "{817:'Запчасти для ТО', 5:'Запчасти', 598:'Для автомобилей'}" 450 "Фильтр топливный Fram P4922 для Toyota" 0
"112" 112 2840 42 "{202:'Продам', 556:'Дом', 525:'0'}" 2400000 "Дом 78 м² на участке 3 сот." 0
"113" 113 3960 22 "{83:'Верхняя одежда', 86:'42–44 (S)', 175:'Женская одежда'}" 35000 "Новая жилетка из меха песца" 0
"114" 114 3960 250004 "{824:'Женский', 714:'Без опыта, студенты', 715:'Полный день', 822:'Среднее специальное', 823:'7'}" 0 "Ищу подработку с ежед- /еженедельными выплатами" 0
"115" 115 1407 42 "{202:'Продам', 556:'Дом', 525:'18'}" 675000 "Дом 48 м² на участке 14 сот." 0
"116" 116 3960 34 "{709:'Шины', 731:'205', 732:'60', 733:'16', 734:'Летние', 5:'Шины, диски и колёса'}" 8000 "Заводские шины от mazda 3(2015)" 0
"117" 117 3953 22 "{175:'Аксессуары'}" 1700 "Кожаный браслет \"\" black screw slim \"\" ручная работа" 0
"118" 118 2430 60 "{120:'62-68 см (2-6 мес)', 178:'Для мальчиков', 110:'Комбинезоны и боди'}" 400 "Комбинезон Турция на 3-6 мес, шапочка в подарок" 0
"119" 119 3193 53 "{181:'Для магазина'}" 0 "Горка пристенная \"\"Эдельвейс\"\" б/у" 0
"120" 120 3960 22 "{83:'Верхняя одежда', 86:'46–48 (L)', 175:'Женская одежда'}" 1000 "Куртка спортивная adidas" 0
"121" 121 1729 54 "{576:'9-12', 550:'1', 201:'Сдам', 503:'Панельный', 567:'Не первый и не последний', 504:'На длительный срок'}" 12000 "1-к квартира, 40 м², 7/10 эт." 0
"122" 122 1079 41 "{143:'Lenovo'}" 8990 "Lenovo S860" 0
"123" 123 3953 11 "{104:'Часы'}" 1000 "Часы Mark Naimer" 0
"124" 124 2610 6 "{200:'Продам', 511:'1', 564:'Не первый и не последний', 517:'Кирпичный', 573:'9-12'}" 790000 "Комната 18 м² в 1-к, 4/9 эт." 0
"125" 125 1902 34 "{817:'Двигатель', 5:'Запчасти', 598:'Для автомобилей'}" 12500 "Коленвал ямз - 238 Турбированный" 0
"126" 126 1110 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 0 "Капот ВАЗ 2109" 0
"127" 127 3939 6 "{512:'2', 518:'Блочный', 200:'Сдам', 596:'На длительный срок', 565:'Не последний', 574:'5-8'}" 4500 "Комната 18 м² в 2-к, 1/5 эт." 0
"128" 128 2109 47 "{127:'Игрушки'}" 1000 "Tiny love развивающий коврик" 0
"129" 129 3960 27 "{48:'Для дома', 487:'Утюги'}" 2000 "Отпариватель MS10748" 0
"130" 130 3172 43 "{1283:'С пробегом', 633:'Серый', 262:'Insignia', 1159:0, 210:'Opel', 184:'45 000 - 49 999', 1162:0, 1165:0, 1135:0, 632:'1.8', 1138:0, 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2011', 185:'Механика'}" 620000 "Opel Insignia, 2011" 0
"131" 131 4008 6 "{200:'Продам', 511:'1', 564:'Не первый и не последний', 517:'Кирпичный', 573:'5-8'}" 0 "Комната 23 м² в 1-к, 4/5 эт." 0
"132" 132 3010 54 "{576:'5-8', 550:'3', 201:'Сдам', 503:'Кирпичный', 567:'Не первый и не последний', 504:'Посуточно'}" 350 "3-к квартира, 63 м², 3/5 эт." 0
"133" 133 3939 43 "{1283:'Новые', 633:'Белый ', 1159:0, 210:'ВАЗ (LADA)', 1162:0, 1165:0, 1135:0, 632:'1.6', 1138:0, 695:'Полный', 696:'левый', 185:'Механика', 186:'Бензин', 187:'Универсал', 188:'1984', 280:'4x4 (Нива)'}" 85000 "LADA 4x4 (Нива), 1984" 0
"134" 134 1261 11 "{104:'Бижутерия'}" 200 "Cтильные винтажные серьги" 0
"135" 135 2107 16 "{162:'Пианино и другие клавишные'}" 6000 "Пианино" 0
"136" 136 2610 43 "{1283:'С пробегом', 633:'Белый ', 1159:0, 210:'Hyundai', 184:'40 000 - 44 999', 1162:0, 1165:0, 1135:0, 632:'1.4', 1138:0, 246:'Solaris', 695:'Передний', 696:'левый', 185:'Автомат', 186:'Бензин', 187:'Седан', 188:'2011'}" 450000 "Hyundai Solaris, 2011" 0
"137" 137 3960 11 "{104:'Ювелирные изделия'}" 12000 "Брошь камея гагат ампир франция" 0
"138" 138 743 34 "{709:'Шины', 731:'215', 732:'55', 733:'16', 734:'Летние', 5:'Шины, диски и колёса'}" 3500 "Летние шины" 0
"139" 139 3022 60 "{178:'Для мальчиков', 124:'23', 110:'Обувь'}" 1000 "Сандалии Kapika" 0
"140" 140 2430 34 "{817:'Трансмиссия и привод', 5:'Запчасти', 598:'Для автомобилей'}" 8000 "Продам Привод левый Пежо 307, Ситроен С4 Б/У" 0
"141" 141 2319 250005 "{716:'Красота, здоровье'}" 0 "Бесплатные стрижки" 0
"142" 142 3960 26 "{132:'Музыка и фильмы'}" 30 "Видеоприколы" 0
"143" 143 3953 47 "{127:'Игрушки'}" 680 "Объемный пазл \"\"сказочный рождественский замок\"\"" 0
"144" 144 1667 14 "{42:'Автобусы'}" 690000 "Hyundai County" 0
"145" 145 3960 26 "{132:'Акустика, колонки, сабвуферы'}" 5000 "SH-810v-1штт" 0
"146" 146 4145 47 "{127:'Игрушки'}" 2000 "Пушка" 0
"147" 147 3771 41 "{480:'Запчасти', 143:'Аксессуары'}" 1260 "Корпус Apple iPhone 5C белый" 0
"148" 148 992 22 "{175:'Аксессуары'}" 600 "Белая сумочка" 0
"149" 149 1294 27 "{48:'Для кухни', 486:'Мелкая кухонная техника'}" 2500 "Самовар электрический" 0
"150" 150 1261 54 "{576:'9-12', 550:'2', 201:'Сдам', 503:'Кирпичный', 567:'Не первый и не последний', 504:'На длительный срок'}" 15000 "2-к квартира, 55 м², 8/10 эт." 0
"151" 151 576 50 "{44:'Стройматериалы'}" 120 "Винил сайдинг файнбер Стандарт Сандал Подольск" 0
"152" 152 3193 38 "{45:'Шкафы и комоды'}" 5500 "Продаю шкаф-купе" 0
"153" 153 1301 250005 "{716:'Транспорт, перевозки', 717:'Автосервис'}" 250 "Автосервис на 24-школе" 0
"154" 154 2686 47 "{127:'Детская мебель'}" 6000 "Детская кроватка" 0
"155" 155 3953 22 "{175:'Аксессуары'}" 735 "Кольцо всевластия Саурона из карбида вольфрама" 0
"156" 156 547 250005 "{716:'Красота, здоровье'}" 50 "Шугаринг готовимся к Весне" 0
"157" 157 1667 54 "{549:'1', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый и не последний', 575:'9-12'}" 2900000 "1-к квартира, 36 м², 5/9 эт." 0
"158" 158 2643 5 "{165:'Игры с мячом'}" 1500 "Бутсы nike Hypervenom (размер 36.5)" 0
"159" 159 163 33 "{531:'Поселений (ИЖС)', 203:'Продам'}" 5e+05 "Участок 5 сот. (ИЖС)" 0
"160" 160 3960 38 "{45:'Шкафы и комоды'}" 3450 "Шкаф Навесной Лира 1255" 0
"161" 161 3939 34 "" 90 "Сальник коленвала задний GM96376569" 0
"162" 162 3960 29 "{483:'Комплектующие', 631:'Блоки питания'}" 990 "Блок питания ATX 500W Cooler Master eXtreme" 0
"163" 163 346 29 "{483:'Клавиатуры и мыши'}" 1200 "Для тошиба а100" 0
"164" 164 3976 53 "{181:'Другое'}" 0 "Стоматологическое оборудование" 0
"165" 165 1653 50 "{44:'Стройматериалы'}" 1120 "Ламинат Berry Alloc, производство Бельгия" 0
"166" 166 3960 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 8400 "Бампер, запчасти для Лексус GS300 (Lexus GX 300)" 0
"167" 167 3261 250006 "{712:'Полный день', 827:'Не имеет значения', 711:'Производство, сырьё, с/х'}" 25000 "Работа вахтовым методом. Требуется упаковщица" 0
"168" 168 1047 43 "{1283:'С пробегом', 633:'Жёлтый', 184:'20 000 - 24 999', 695:'Задний', 281:'ГАЗель', 632:'1.9', 210:'ГАЗ', 185:'Механика', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Микроавтобус', 188:'2003'}" 150000 "ГАЗ ГАЗель, 2003" 0
"169" 169 1828 20 "" 550 "Волнистые попугаи" 0
"170" 170 3960 22 "{83:'Джинсы', 175:'Женская одежда', 87:'27'}" 2800 "Капри женские Pinko (новые)" 0
"171" 171 3953 54 "{552:'2', 201:'Куплю'}" 6700000 "Куплю 2-к квартиру" 0
"172" 172 733 43 "{1283:'С пробегом', 633:'Серебряный ', 1159:0, 210:'Toyota', 184:'240 000 - 249 999', 1162:0, 1165:0, 1135:0, 632:'1.5', 1138:0, 277:'Corolla', 695:'Передний', 696:'правый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2002', 185:'Автомат'}" 312500 "Toyota Corolla, 2002" 0
"173" 173 2840 37 "{14:'Этикетки, бутылки, пробки'}" 700 "Старые чернильницы" 0
"174" 174 547 5 "{165:'Фитнес и тренажёры'}" 11500 "Новый Силовой комплекс flexter flhg01C" 0
"175" 175 2451 54 "{576:'5-8', 550:'2', 201:'Сдам', 503:'Панельный', 567:'Не первый', 504:'На длительный срок'}" 9000 "2-к квартира, 45 м², 5/5 эт." 0
"176" 176 3953 43 "{1283:'С пробегом', 633:'Серый', 1159:0, 210:'FIAT', 184:'35 000 - 39 999', 1162:0, 1165:0, 1135:0, 240:'Doblo', 632:'1.4', 1138:0, 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Минивэн', 188:'2012', 185:'Механика'}" 509000 "FIAT Doblo, 2012" 0
"177" 177 3953 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 0 "Зеркало левое электрическое Mazda 3 (BK) 2002-2009" 0
"178" 178 182 22 "{83:'Нижнее бельё', 175:'Женская одежда', 491:'48–50 (XL)'}" 500 "Шорты для похудения" 0
"179" 179 1788 43 "{1283:'С пробегом', 633:'Зелёный', 232:'Lanos', 184:'60 000 - 64 999', 695:'Передний', 632:'1.5', 210:'Chevrolet', 185:'Механика', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2008'}" 185000 "Chevrolet Lanos, 2008" 0
"180" 180 3953 52 "{167:'Книги'}" 100 "Пушкин в школе. Пособие для учителя. 1959г" 0
"181" 181 576 60 "{178:'Для мальчиков', 124:'28', 110:'Обувь'}" 580 "Новые классные сапожки" 0
"182" 182 1261 16 "{162:'Для студии и концертов'}" 0 "Behringer UB1832FX-PRO" 0
"183" 183 2018 54 "{576:'5-8', 550:'2', 201:'Сдам', 503:'Панельный', 567:'Не первый и не последний', 504:'На длительный срок'}" 23000 "2-к квартира, 48 м², 2/5 эт." 0
"184" 184 2077 60 "{178:'Для мальчиков', 118:'134-140 см (8-10 лет)', 110:'Брюки'}" 400 "Брюки" 0
"185" 185 4279 27 "{48:'Для кухни', 486:'Плиты'}" 1500 "Электрическая печь" 0
"186" 186 1000031 34 "{5:'Инструменты'}" 85900 "Набор для удаления вмятин 74 предметов (PDR-DOL)" 0
"187" 187 3960 500001 "{820:'Общественное питание'}" 2e+06 "Кафе" 0
"188" 188 1261 26 "{132:'Аксессуары'}" 18500 "Citidisk DV-HDV-HD" 0
"189" 189 3976 43 "{1283:'С пробегом', 633:'Чёрный', 1159:0, 210:'Volkswagen', 184:'85 000 - 89 999', 1162:0, 1165:0, 1135:0, 632:'2.0', 1138:0, 278:'Tiguan', 695:'Полный', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Кроссовер', 188:'2009', 185:'Автомат'}" 855000 "Volkswagen Tiguan, 2009" 0
"190" 190 742 50 "{44:'Сантехника и сауна'}" 5000 "Тумба-умывальник изогнутая" 0
